case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,372626,941831,1803224
1,559137,505468,581708
2,528892,524029,537706
3,494383,734785,702067
4,415030,490187,616440
5,401952,538645,643830
6,434407,502088,619212
7,422594,545953,567507
8,406009,565253,763184
9,411982,500389,589133
10,404995,575331,575698
11,425557,479961,635172
12,393854,538106,629578
13,385833,524144,672381
14,573624,560773,629903
15,470371,556182,627863
16,468528,522812,599316
17,467853,508598,674565
18,445812,548409,665046
19,458624,513251,499642
20,462908,514615,681145
21,565599,539832,655115
22,422510,541643,631308
23,385006,574999,614554
24,462192,538022,672505
25,415265,507345,686701
26,438403,519203,616950
27,449798,493687,654942
28,422384,461115,605780
29,430448,498681,687387
30,492933,541522,644382
31,448081,507148,614529
32,437380,565597,660590
33,423416,546505,550731
34,408272,526603,616899
35,445871,627761,598941
36,482574,564009,677920
37,458680,512179,596146
38,478973,542385,672306
39,420839,452860,634682
40,434130,632535,589101
41,460407,527216,569571
42,569658,526531,571777
43,470587,506014,555031
44,421035,480727,623012
45,543124,535342,640956
46,379321,465130,611566
47,425312,517590,595320
48,495201,534814,575425
49,584790,584444,519960
50,469428,518521,776776
51,561475,433088,543542
52,414046,433795,576438
53,519392,502271,551506
54,391275,454599,568320
55,371401,489692,600823
56,403929,596301,629983
57,455569,448691,589826
58,421862,533610,582263
59,455105,532279,587375
60,371486,516917,648862
61,395289,503155,856501
62,452937,451088,592868
63,376571,550486,596226
64,371270,477447,614067
65,410891,504546,563816
66,441128,476471,704264
67,445219,729186,518395
68,417492,502164,559337
69,457594,489120,583783
70,409574,512242,572393
71,387484,475202,530789
72,462087,530685,691336
73,457787,513200,654485
74,430958,499005,533313
75,389573,457726,522060
76,398555,450433,547420
77,379208,450984,536083
78,429280,505577,614936
79,401590,486849,519363
80,400282,459353,520090
81,456431,479860,545406
82,387546,450411,534560
83,419473,450615,535106
84,372003,500972,588723
85,383970,476791,538720
86,381367,462290,545132
87,388879,455420,551675
88,446636,448867,533206
89,374216,464077,757264
90,379187,502810,1032155
91,546918,451638,578710
92,404536,479890,548126
93,400055,486928,627621
94,372430,463226,552159
95,397274,514592,554129
96,440305,449946,516101
97,447105,480888,577393
98,404241,451793,596504
99,386662,450586,581351
