case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,7740722,12821826,19234026
1,6965318,14381582,19269844
2,6246520,13230476,19731714
3,6576857,14903320,21055767
4,6459486,14126147,18296187
5,6958761,13862597,19884264
6,7107933,14113690,19200608
7,6306843,13418779,20061992
8,6278162,14516494,19863130
9,6896276,15172491,19734690
10,6624905,13596513,18693243
11,6611422,14244495,20182963
12,6371853,13965198,18635243
13,7921122,14094245,19256364
14,6312653,13401980,20291759
15,6655982,13782825,18911494
16,6850879,14743328,19856167
17,7648904,13642773,20024653
18,6633122,14220990,19693374
19,6337726,13966026,17915442
20,6440676,13005893,19880142
21,6342129,13782159,18826616
22,6312407,13160068,22415100
23,7533218,12997853,18922435
24,7199014,13361282,19398559
25,6618423,13258640,19413730
26,7476024,12626052,19368127
27,6471168,13841652,19903664
28,6489258,13617586,18746806
29,7175916,13151722,21173851
30,7014310,14665486,19733514
31,6912296,14395567,20298239
32,6570788,13301573,18377153
33,6410094,13876237,20672272
34,7333062,12670234,18974996
35,6877699,13510474,19323165
36,6553067,13184414,19163321
37,6406431,13846606,19928020
38,6346325,13743592,22418842
39,6664474,12576466,20732842
40,6805646,13046746,19537914
41,6823280,14038908,18337829
42,7352921,13061721,20796936
43,6895200,13216041,19821630
44,6671756,14010664,19316080
45,6451157,13304484,18587797
46,6922856,13878314,20503406
47,6444947,13121521,20612325
48,6392246,13282934,20100085
49,7167616,13782867,18374699
50,6162636,14231462,21730075
51,7027408,14392723,18640107
52,5966066,15110841,20140326
53,6393358,13961084,20396098
54,6355150,14537390,20429468
55,7086349,14348230,19156906
56,7603246,13704302,19155255
57,6365765,13478310,20700383
58,6564449,13832515,19636771
59,7204413,13565730,20694654
60,6511695,13484658,18848232
61,6980068,13617666,20398030
62,6343365,14280545,18586787
63,6699983,14074964,19930872
64,7056949,13468833,19414978
65,6315718,13951048,19677348
66,6890262,13449552,20910020
67,6729555,13490876,20499280
68,6550725,13980320,19600323
69,6761940,14346003,17842673
70,5968747,13195535,19456239
71,6947302,13910549,18381979
72,6215067,15555879,20333357
73,6442504,14089882,18744085
74,6873243,13532395,20329040
75,7389641,13231118,17888864
76,6446934,13616628,19040601
77,6819546,14651568,18456014
78,6509248,13641625,21324476
79,6727001,14033532,20901615
80,7408751,14819630,18828249
81,6758374,13163802,20114969
82,6368927,13587692,19974264
83,7148007,14379456,19393479
84,6516750,14919847,19435236
85,6284171,13621123,20196981
86,6836220,13474285,18835822
87,6693944,13463724,19916414
88,7110819,13485491,18458257
89,6307922,14590172,19767488
90,6605147,13241861,18659283
91,6412233,14583673,19839958
92,6980001,13929889,19791017
93,7973362,13862724,18741357
94,6858930,13904255,19574699
95,6842519,13805575,18258497
96,6425315,13894061,19932695
97,7946863,13944040,18823163
98,6499558,13293359,20004446
99,6869455,13732076,19835165
