case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,59149516,7734061,21935139
1,60994713,7789730,19757795
2,61003604,7970822,20655580
3,57607107,8417181,19792938
4,69435698,7900886,19232726
5,58108271,8426231,20182630
6,58610124,7708664,20315507
7,58958706,7877683,19922490
8,61452289,8260291,19884782
9,56956680,8045400,20456972
10,56924097,8126888,20936941
11,57653653,7975144,18911053
12,58463181,7624796,19321700
13,59111481,9463105,23143902
14,61263284,7811444,19001917
15,59099239,7834828,20655375
16,57717334,8058562,20279929
17,58198938,7388957,21336911
18,89093590,7972753,19665840
19,62581495,8708842,20172783
20,56863553,7818053,20419861
21,55611212,7971529,20927604
22,57906184,7739529,20359327
23,59732063,7973467,19665719
24,59313913,7563710,20938201
25,57480417,8860257,18070717
26,61074653,7807604,21931956
27,58837842,8090050,21266032
28,56608590,8096835,18240295
29,57318853,7668324,19734930
30,60380721,8225817,20824029
31,59004252,7817550,19613669
32,58122134,8179080,18491046
33,60132193,6951654,19592377
34,58741951,7147558,20363959
35,61098860,7740174,18827812
36,60826126,7801557,20349407
37,56663991,8126606,21855383
38,57691692,7851894,18844183
39,56541025,8265601,19470629
40,55912687,7769365,20456656
41,83304235,7762835,20702601
42,57102553,7747256,20245357
43,56086494,8044677,19786460
44,88915065,7512609,19530776
45,58116536,7623912,18021839
46,58080823,7386849,18747543
47,61591148,8196303,21300094
48,59001442,7919381,20645500
49,84958828,7658979,18229555
50,57181022,7983289,20169601
51,57573271,7711430,21000675
52,58918219,8150944,20892305
53,59505886,8203905,19585807
54,56722983,7685964,19867513
55,60597809,7844981,19128919
56,56792470,7679749,19481956
57,54911621,8064567,22315008
58,60711010,9781868,20762233
59,57589458,8235833,18641317
60,68777251,8330576,19219014
61,59532001,7569414,19722555
62,59438884,7281888,20576784
63,58675244,6870655,21684345
64,61907200,7654154,20041436
65,57751477,8205088,19860554
66,54416340,8018101,20010819
67,57689423,7972172,18899512
68,57670037,7739132,19933461
69,58276177,8132912,22412268
70,62369539,7702643,19405084
71,58219565,7766226,20241508
72,55800036,7725070,19761985
73,57270183,7772785,19332545
74,59900906,7614465,19941554
75,60243772,7750039,20423446
76,60274182,6979027,18866990
77,55627587,7510096,20972621
78,58845802,8114962,20876835
79,58083386,8125412,21343799
80,58801417,8418081,18706113
81,61182613,7910483,19295027
82,56718049,7780885,19819587
83,59802897,7538885,19446878
84,58348297,7829808,18379318
85,56259191,8875981,20797198
86,56298691,7858528,21107038
87,63322275,7855954,19868221
88,57012133,8178748,18650172
89,56373321,7962448,20530874
90,59256703,7832623,21756381
91,59447850,7977671,19039105
92,84248651,8161613,21154228
93,59085165,7837226,19622437
94,57972430,7170670,20008147
95,55691129,8100586,20947880
96,57474913,7835448,20288830
97,58178714,8012774,19851453
98,60532975,7817856,20122580
99,61044020,7666807,19892617
