case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,63518239,1529337,3840683
1,59420537,1674073,4565792
2,61944641,1609778,3818155
3,60449964,2146767,5067648
4,60348570,1575305,4105455
5,61420381,1552505,4155925
6,59155883,1500923,3660486
7,61995288,1431129,3921851
8,59452707,1393889,4268197
9,59092633,1847729,4314701
10,60104763,1481188,4848000
11,61116343,1507070,4279672
12,59205743,1794041,4279032
13,63276880,1509461,3897531
14,61170703,1477852,4730387
15,60381972,1580657,4274070
16,57915313,1464777,4236286
17,61925256,1549635,4430643
18,61410342,1523426,5124226
19,61414320,1420302,4186280
20,63227364,1573839,3856831
21,58721666,1645421,4176885
22,59012483,1623969,4040700
23,60258983,1630469,4479184
24,62761850,1584299,3878936
25,61239908,1568929,3867032
26,61314903,1654307,4524148
27,60010326,1652081,4102684
28,63507726,1682352,4299982
29,62334657,1583574,4302157
30,59477328,1638764,4277467
31,60187016,1596975,4013075
32,60964374,1595950,4362844
33,61645333,1849806,4437452
34,59980419,1566835,3931144
35,59935540,1590880,4433828
36,56015720,1716189,4216930
37,58435385,1646708,4245360
38,59203620,1626029,4161670
39,58799284,1639063,4208565
40,60720872,1725258,4345875
41,62511484,1601494,4409907
42,59725212,1673860,4263588
43,62767665,1736287,4025957
44,56983178,2111343,4349312
45,58435876,1629299,4144524
46,57605382,1638982,4068564
47,60482481,1579464,4418625
48,61845491,1672447,4198863
49,61768901,1581984,4088718
50,60204894,1610051,3981615
51,59462570,1522116,4035315
52,60431512,1571827,3901325
53,60093134,1777713,4195809
54,60817933,1596663,4250331
55,58134454,1803589,4032579
56,60317799,1555673,5478360
57,57703127,1641071,4221258
58,60329219,1874991,4391795
59,60287658,1597907,3974806
60,60152062,1535324,3960771
61,60751226,1599349,3828338
62,60434973,1594622,4175576
63,62249164,1622400,4184607
64,62018077,1574129,4223802
65,60844243,1598886,3796016
66,60069635,1610631,4111041
67,58905543,1620620,4151435
68,59476778,1572000,4014455
69,60397091,1632614,4382419
70,59664975,1624548,4319039
71,61667580,1611746,5412578
72,60267593,1634421,4042243
73,56912563,1849911,4360622
74,59680812,1657409,4363576
75,59892627,1590844,3970064
76,55919555,1593470,4187948
77,61377651,1478475,3861589
78,59462602,1618471,5578111
79,61747952,1559304,4111368
80,59464926,1507361,4327948
81,61234901,1661912,3941627
82,59429553,1626672,3669772
83,61423061,2016392,3847117
84,59558377,1560783,4123368
85,59933084,1573187,3909183
86,63163322,1584479,3857983
87,59020522,1601575,4168221
88,59732893,1534993,3784991
89,63925858,1655359,4096678
90,59416034,1660753,4323776
91,59048370,1626365,4017221
92,61766724,1792318,4195341
93,60377331,1561720,4272314
94,63568615,1599995,4005704
95,60978374,1587201,4136579
96,58828438,1600832,4094490
97,59791543,1627640,4097497
98,59366208,1682292,4179116
99,56590278,1692058,4324888
