case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,552911,682051,1404095
1,549310,647831,1261057
2,470037,624857,1496016
3,571696,914719,1357117
4,495532,771947,1489364
5,476960,677429,2816414
6,530052,655017,1378636
7,604940,686411,1401712
8,475764,695764,1378234
9,476142,673611,1324884
10,601018,677080,1474895
11,538491,761457,1253935
12,488897,862122,1639073
13,503774,605840,1449870
14,461796,697836,1503554
15,2698672,701531,1501220
16,509162,821202,1581922
17,633520,725269,1529222
18,518487,783789,1813026
19,592831,692585,1525528
20,599590,656809,1358400
21,461165,649880,1330774
22,504082,647483,1488769
23,705984,666587,1402366
24,503259,789732,1357345
25,530250,941458,1637285
26,826043,827979,1715290
27,462683,676780,1439351
28,582087,741716,1360151
29,654596,665885,1560066
30,462006,614728,1297237
31,507153,622416,1429614
32,461954,662801,1374032
33,506893,876287,1378531
34,665264,721753,1294603
35,546317,622155,1536446
36,464380,624515,1498623
37,515246,658445,1559606
38,513689,686654,1547594
39,583068,810204,1437711
40,512007,653980,1392514
41,550617,650331,1504582
42,556848,762022,1506150
43,508870,780689,1398654
44,640192,955367,1373423
45,661629,692585,1418502
46,500478,684580,1302158
47,539775,606272,1598540
48,599971,643603,1648374
49,534417,654333,1437922
50,502757,616150,1335795
51,541958,696454,1324999
52,576028,684921,1499288
53,550394,718419,1440355
54,462252,614470,1901187
55,540295,817476,1392810
56,521789,623708,1571427
57,461373,699200,1305282
58,630965,655176,1417198
59,602536,632524,1891895
60,461525,738582,1405749
61,470596,716236,1394175
62,490639,648465,1401485
63,465503,677465,1369102
64,504526,637579,1454742
65,495565,669724,1432903
66,524749,639420,1355488
67,476737,686506,1524907
68,520281,853633,1611689
69,615386,631361,1428263
70,492742,780959,1549693
71,584737,730624,1449834
72,639584,694836,1435004
73,519560,667304,1384001
74,557765,671158,1310965
75,513911,743719,1447485
76,555333,633504,1510326
77,497622,716707,1470337
78,522859,635377,1387707
79,523228,625809,1457026
80,565732,694382,1602972
81,479554,688781,1466011
82,463171,633272,1341666
83,516385,675190,1515732
84,542132,676533,1452039
85,587366,606318,1419285
86,508092,807558,1352610
87,580282,765339,1509665
88,536820,720609,1434266
89,553215,950264,1464440
90,679131,707456,1374825
91,479244,785495,1613625
92,466116,636130,1567538
93,485162,634706,1548973
94,508622,606666,1448274
95,493362,696437,1451188
96,571022,650999,1467557
97,484833,697317,1469236
98,483845,702467,1376794
99,533922,608027,1304573
