case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,1012644,1290311,2662243
1,1015164,1285573,2851110
2,1140971,1309726,2497039
3,1014332,1208411,2648975
4,1052329,1234731,3061322
5,1138275,1322751,2690800
6,1042695,1345569,2405030
7,977809,1217515,2543067
8,1053441,1341609,2734543
9,1060239,1264573,3060828
10,1189365,1259152,2463662
11,1018777,1406362,2784094
12,1160736,1196349,2824256
13,1086694,1417041,2870078
14,1055337,1393913,2694943
15,1019761,1363208,2648597
16,1112849,1235777,2539437
17,1004183,1172865,2395070
18,1148285,1408662,2862662
19,1045403,1315672,3012090
20,1222400,1283077,2646890
21,1159413,1479232,2624329
22,1281145,1275247,2762095
23,1008258,1271459,2613468
24,1007034,1185498,2764486
25,990976,1149582,2564481
26,1071472,1346791,2636085
27,1030484,1267462,2706576
28,970692,1182056,2740084
29,1034277,1289580,2675766
30,998872,1311639,2508868
31,1004008,1332375,2627495
32,987680,1404807,2848117
33,1040930,1295489,2711695
34,1108677,1444188,2999136
35,944745,1239145,2547253
36,1000542,1262125,2643362
37,946852,1184777,2477040
38,944534,1254924,2724334
39,1035995,1321956,2748826
40,1152057,1307058,2617199
41,9280814,1535838,2669850
42,1035354,1359979,2723471
43,1011796,1322124,2546836
44,1177231,1227236,2700561
45,989334,1320817,2720688
46,1068673,1190061,2546657
47,1026714,1307016,2669182
48,970830,1182583,2585534
49,1052227,1270821,2748618
50,1066932,1282635,2789515
51,961599,1340562,2606532
52,1018346,1320288,2498818
53,1074967,1309407,2630266
54,978177,1307015,2570876
55,1017093,1279937,2431201
56,1021883,1277225,2505621
57,985591,1248409,2761126
58,971860,1228747,2632048
59,990725,1318279,2657703
60,1114520,1282502,2607913
61,1053368,1183014,2520120
62,1151655,1216237,2765314
63,1018994,1280255,2494778
64,1000831,1203788,2447841
65,972511,1180929,2619762
66,1027957,1304779,2636565
67,1110469,1230024,2533588
68,1058576,1186126,2636015
69,1007154,1204905,2652789
70,1085167,1272989,2609438
71,988499,1185524,2536286
72,971115,1227095,2610631
73,1014555,1254112,2506738
74,969641,1310744,2530261
75,981655,1342130,2809541
76,1052488,1207468,2662971
77,974582,1215937,2590887
78,1041340,1270560,2551409
79,1013742,1295028,2607293
80,1056065,1181368,2445050
81,970910,1210927,2446758
82,982648,1198074,2424595
83,995790,1180868,2457089
84,1034477,1647684,2607195
85,976036,1210278,2572187
86,1392838,1194113,2453200
87,984531,2230871,2500993
88,985086,1200822,2869576
89,999181,1184083,2473347
90,1428162,1288382,2881257
91,1025389,1206844,2460443
92,2187362,1197985,2498942
93,979378,1196194,2884824
94,1043771,1304634,2457331
95,1019159,1255499,3731890
96,1229931,1480977,2442598
97,987513,1184581,2476686
98,1009248,1200564,2498861
99,977111,1193086,2498562
