case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,1854670,1961677,4296337
1,1822910,3381881,6488652
2,1774807,1966294,4056156
3,2006223,2012718,4426465
4,1736399,2043725,4411627
5,1827955,2091051,4173568
6,1817075,2147408,4100034
7,1711154,2263193,4594881
8,1851865,2027175,4357029
9,1798667,2301264,4457489
10,1688952,2383780,4577401
11,11200364,2097383,4528696
12,1822923,2113271,4429270
13,1744955,2056123,4679515
14,1850276,2060390,4330606
15,1822118,2172335,4409197
16,1917324,2219445,4760494
17,2166586,1969073,4261138
18,1691663,1984307,4384042
19,1739572,2040136,4283832
20,1860103,2139871,4493030
21,1931686,2006970,4028590
22,1834852,2042169,4194591
23,1752613,2018335,4398898
24,1803708,2041123,4190435
25,2006251,1986881,4226276
26,1757034,2151399,4227455
27,2206408,1959033,4209633
28,1888341,2063454,4179511
29,1882906,2167010,4381701
30,1637214,2020546,4717118
31,1924112,1997795,4171764
32,1730850,2075260,4126082
33,1751060,2180646,4390258
34,1705505,2005476,4191522
35,1829998,2322715,4144673
36,1828896,2361588,4193177
37,2026672,2201095,4175229
38,1695834,2061568,4240714
39,1690461,2063921,4491875
40,1795424,2126317,4267295
41,1944484,1988028,4261069
42,1896308,1978044,4420150
43,2014862,2149245,4344971
44,1844245,2084998,4481846
45,1679383,2051919,4208759
46,1860401,2105016,4590925
47,1873303,2063898,4259281
48,1747789,2220837,4520636
49,1779908,2138314,4320848
50,1778995,2032371,4373373
51,1737960,2226160,4070156
52,1698219,2689640,4328908
53,1767085,2040838,4203888
54,1862999,2004724,5102051
55,1833402,2258119,4093121
56,1758504,2114384,4145322
57,1736814,2110711,4344003
58,1765070,2101981,5635180
59,1695884,1991252,4248778
60,1685416,2193157,4498862
61,1749658,2107713,4463839
62,1885556,2145748,4250503
63,1813954,2038971,4267162
64,1757126,2097159,4728773
65,1966438,1998547,4437075
66,1882237,2149853,4464268
67,1762431,2132325,4379691
68,1731050,1971527,4583670
69,1833256,2078889,4202134
70,1816997,2187771,4195786
71,1689092,2076627,4277044
72,1820318,2136155,4293706
73,2017678,2123818,4156228
74,1689606,2018257,4363925
75,1855476,1953641,4041681
76,2136677,2240783,4304149
77,1688238,2026186,4151506
78,1755751,1977533,4048963
79,1745892,1958457,3969741
80,1673838,2005783,4276725
81,1685410,1972481,4316488
82,1723199,1938665,3983745
83,1847841,2016254,4207320
84,1694680,2111306,4494950
85,1853964,2054211,4363189
86,1878542,2131371,4594270
87,1853175,2127341,4197743
88,1777296,2036291,4782943
89,1823011,2141388,4337265
90,1723120,2072598,4277716
91,1824394,1933403,4462051
92,1921446,2181062,4256853
93,1728104,2128244,5173127
94,1711908,2658857,4413652
95,1724708,1974950,4965186
96,1738126,2191382,4528139
97,1887919,2320570,4509736
98,2046043,2245541,4472452
99,1873074,2193916,4880065
