case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,100583,121063,350967
1,76253,109207,490070
2,72538,95232,313365
3,76369,78669,580609
4,72946,78014,293726
5,139431,114365,352370
6,119958,106822,365357
7,106800,96884,375003
8,104567,97725,477786
9,94144,109865,369117
10,108481,78666,310853
11,76935,73466,355350
12,95805,107524,374710
13,99329,79761,346950
14,110170,77641,400470
15,81290,106094,397725
16,87155,113960,312969
17,93574,76446,511581
18,76795,92676,447416
19,110544,100381,448072
20,92975,87046,434950
21,89495,95928,388961
22,87348,150699,313691
23,74955,77346,365209
24,101906,110737,368363
25,88506,75818,386707
26,92216,77451,349964
27,72093,74636,455055
28,76232,78462,323156
29,127898,90741,292824
30,72240,74329,397589
31,76965,117027,392211
32,77193,72337,547406
33,74586,72797,358293
34,111804,87254,360659
35,77445,76779,356061
36,76055,72444,458244
37,115671,129498,327642
38,87122,96655,326288
39,84118,72690,306818
40,79869,96663,497528
41,78797,94277,383931
42,81466,98880,368787
43,88815,94842,389443
44,72584,80660,295235
45,73092,95761,443403
46,190107,134355,448305
47,89857,227610,364965
48,75059,159546,380031
49,88216,96543,364889
50,106483,78669,365461
51,105456,126553,364192
52,73038,74775,368391
53,121572,86072,355010
54,96551,85849,363580
55,79767,75066,388099
56,139756,233686,394724
57,97374,77003,531725
58,102259,143382,373697
59,77790,73505,311688
60,103810,101310,476551
61,118133,94457,438485
62,171231,78483,336199
63,97690,79465,356909
64,77827,79761,316144
65,78573,83043,316763
66,77139,80802,346069
67,122029,80878,306094
68,74059,76162,382427
69,77534,81034,312433
70,76398,80299,336239
71,78127,94859,420271
72,81081,109816,404723
73,72909,94818,369453
74,123410,110402,350000
75,73747,92898,354419
76,91555,87185,396356
77,78980,107448,353859
78,77938,86431,446325
79,128025,113148,476838
80,113039,128430,385802
81,79034,76977,513095
82,97194,107725,399767
83,85012,210515,379452
84,80491,73462,408888
85,110584,82094,342230
86,91800,173690,321231
87,73542,75631,294249
88,71996,76256,295852
89,72178,83642,330304
90,124851,92376,298136
91,72678,79246,341840
92,75379,81161,303517
93,75985,117031,375472
94,72186,76262,293809
95,72260,74043,303316
96,80405,72349,291106
97,73535,72201,346595
98,100074,74644,306043
99,73745,72431,305496
