case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,5656,19717,15272
1,4659,5111,10863
2,4965,4836,9980
3,4746,4982,9965
4,4579,5000,9985
5,4373,4560,9649
6,4410,4606,9633
7,23394,4597,9810
8,4500,4634,9718
9,4548,4616,9371
10,4487,4762,10220
11,4471,4580,9604
12,4322,4395,9425
13,4361,4651,9271
14,4349,4450,9453
15,4428,4440,9595
16,4332,4440,9255
17,4281,4381,9317
18,4599,4470,9286
19,4406,4396,9366
20,4453,4425,9295
21,4384,4424,9755
22,4555,4584,9694
23,4640,4553,9807
24,4699,4764,9674
25,4879,4389,9337
26,4513,22913,9370
27,4345,4364,9335
28,4373,4382,9493
29,4330,4446,9372
30,4406,4345,9339
31,4359,4420,9268
32,4339,4346,10049
33,4357,4277,9089
34,4266,4448,9002
35,4277,4250,8962
36,4373,4392,9377
37,4352,4422,22307
38,4257,22821,9212
39,4398,4358,9279
40,4238,4290,9327
41,4414,4417,9501
42,4410,18228,9066
43,4215,4281,9056
44,4339,4411,9342
45,4419,4380,22130
46,4253,4300,8983
47,4206,4250,8981
48,4262,4325,8978
49,4189,56627,9872
50,4500,17612,9301
51,4395,4509,9645
52,4584,4439,9372
53,4279,4394,9388
54,4519,4509,9693
55,4445,4617,9654
56,4382,4654,9696
57,4605,4469,24504
58,4251,4307,9034
59,4207,4459,9656
60,4290,24269,9333
61,4712,24610,9951
62,4572,4734,9683
63,4669,4573,9958
64,4533,4411,9337
65,4380,4478,9245
66,4574,4830,9685
67,4451,4621,9489
68,4361,4506,28900
69,4955,4428,9316
70,4435,4472,9451
71,4405,4350,9368
72,4463,4284,8994
73,4135,4324,8973
74,4208,4425,9216
75,4678,4506,9499
76,4221,4327,9070
77,4168,4245,27594
78,4466,4425,9250
79,4362,4386,8953
80,4139,4312,8979
81,4180,4250,9080
82,4220,4282,8951
83,4214,4258,9076
84,22767,4379,9261
85,4325,4399,22076
86,4172,4239,8990
87,22707,4398,9237
88,4298,4348,22076
89,4219,4283,8950
90,4164,4292,8952
91,4164,4277,8976
92,4146,4297,9008
93,4320,4378,9265
94,4311,4412,21981
95,4179,4292,8970
96,4296,4461,9247
97,4356,4368,9252
98,4386,4237,9242
99,4202,4248,8971
