case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,3568,1405,3205
1,318,583,2171
2,263,562,2137
3,323,570,2328
4,315,607,2205
5,268,556,2161
6,266,556,2175
7,343,604,15593
8,271,552,2195
9,278,573,2198
10,274,580,2250
11,280,587,2227
12,273,564,2687
13,273,564,2321
14,280,578,2196
15,273,558,2194
16,266,569,2234
17,266,581,2272
18,281,566,2215
19,269,574,2145
20,264,547,2181
21,271,572,2136
22,267,550,2152
23,332,600,2157
24,263,564,2206
25,274,550,2126
26,268,554,2133
27,266,549,2179
28,274,568,2141
29,265,547,2144
30,262,551,2136
31,270,620,2185
32,266,565,2131
33,266,556,2139
34,266,548,2181
35,272,588,2195
36,271,569,2257
37,385,614,2238
38,472,665,2770
39,276,582,2217
40,13495,554,2186
41,268,558,2209
42,271,565,2172
43,251,544,2087
44,260,535,2110
45,264,551,2190
46,259,535,2085
47,258,540,2206
48,258,535,2247
49,263,547,2102
50,317,589,2150
51,262,535,2083
52,263,551,2140
53,257,533,2125
54,262,546,2133
55,267,549,2177
56,429,570,2144
57,262,556,2164
58,318,552,2143
59,270,549,2142
60,257,542,2101
61,256,544,2104
62,257,554,2125
63,299,551,2103
64,258,538,2135
65,258,532,2084
66,262,549,2265
67,261,539,2095
68,260,533,2108
69,261,545,2108
70,262,549,2107
71,12880,571,2142
72,270,542,2179
73,276,556,2085
74,258,534,2103
75,253,542,2082
76,256,550,2154
77,264,560,2173
78,259,550,2082
79,260,541,2138
80,261,552,2138
81,256,535,2083
82,257,542,2199
83,320,568,2227
84,263,576,2151
85,311,571,2179
86,262,614,2187
87,271,643,2132
88,264,549,2166
89,306,537,2129
90,264,567,2136
91,261,547,2093
92,258,540,2086
93,258,537,2204
94,265,549,2075
95,271,535,2127
96,264,559,2185
97,269,565,2182
98,265,547,2142
99,266,550,2138
