case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,154763,195651,234670
1,136961,208259,273844
2,166094,275601,251407
3,169666,279225,281184
4,167997,197752,258689
5,148166,190268,281552
6,147550,218396,340997
7,211303,181090,294604
8,144780,203676,261007
9,185775,221830,285022
10,165728,216551,254328
11,150770,225521,236362
12,148040,238575,276179
13,133253,233747,245975
14,168029,239692,277006
15,168415,190657,270800
16,153398,238526,276941
17,157646,252406,262783
18,214850,235657,269219
19,184782,219498,266484
20,138375,207670,275594
21,137525,230348,251186
22,249270,403545,274925
23,164943,219179,262001
24,147330,246812,263098
25,150400,261097,224379
26,134025,180974,270056
27,132730,239379,277834
28,168717,223428,267419
29,166818,206940,302208
30,204184,204386,239321
31,149355,226195,296342
32,147862,234096,241138
33,170133,276990,246654
34,164829,189778,260919
35,151815,221495,318748
36,184890,233283,308860
37,167756,208283,265647
38,179631,222180,232281
39,163598,233470,262730
40,179125,208735,246982
41,180150,220177,312251
42,167675,219783,261603
43,167258,233902,281678
44,167663,223920,223581
45,152129,220291,287129
46,132215,234034,321068
47,261419,231809,270946
48,131515,181273,223301
49,185880,217287,264082
50,178877,184035,221886
51,130963,209867,244623
52,149243,242513,306718
53,157067,218574,294753
54,149788,226562,317280
55,167353,229859,276339
56,166330,220294,320812
57,132950,204029,234498
58,198240,218361,296649
59,195298,293202,260614
60,184468,207285,262733
61,186687,216242,320277
62,165329,242001,282279
63,173976,184268,242494
64,149003,252813,240230
65,149775,232992,284791
66,137224,238745,314510
67,161481,210634,285221
68,150587,214311,255102
69,162636,247257,231647
70,152648,221135,275796
71,132175,221456,271582
72,165439,185158,239296
73,149996,228350,258924
74,163332,208051,232570
75,136897,182596,303333
76,135210,215774,258328
77,185221,189713,240786
78,154128,192130,244192
79,136137,239138,258614
80,135819,190076,257039
81,148516,201478,269445
82,136290,188880,257430
83,153978,202721,231036
84,135887,228046,287005
85,139702,225058,261855
86,168590,190538,262830
87,138190,189767,247790
88,136156,202491,248370
89,154703,196858,223221
90,131577,226606,222724
91,130635,180537,233622
92,130851,207255,248504
93,168401,188260,229715
94,171988,188913,233432
95,138240,245018,229398
96,148387,220067,232439
97,137444,189722,281101
98,144048,221749,280822
99,137083,222142,295012
