case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,4685023,11785511,11447409
1,2237700,11104377,11812103
2,2205965,15422932,11492421
3,1918979,12367312,11409865
4,1783227,11948658,11942793
5,2277169,12220584,11472958
6,1895082,12980756,11868849
7,2195013,12273197,11487811
8,1868470,12717437,11288338
9,1824959,12518358,11147815
10,1922800,12058136,11621515
11,1952683,12606479,12124354
12,2549533,13367268,11613211
13,1972213,12570286,11535500
14,2005692,11715923,11041729
15,1872672,12273571,11845489
16,2126654,12591357,11446216
17,1821889,11842356,11326469
18,1905168,11355883,11156340
19,1903986,11633394,11498252
20,2122739,11499987,12027689
21,1979423,11563088,12143142
22,2158021,12597130,11419993
23,1922831,11644692,11675715
24,1992789,12784198,11394448
25,1872290,11757634,11165880
26,1888108,11377097,12457661
27,1988952,11484930,11742270
28,1990842,11573167,11485649
29,2285988,11766441,11953453
30,1909365,12666193,11288088
31,1832758,12358091,11152835
32,1797585,11062110,11926882
33,1928230,12584509,11899806
34,1900390,11576668,11167300
35,2157202,12715920,11202810
36,1944587,11391706,11295214
37,2083400,11523899,11528512
38,1949751,11754356,11705241
39,1932602,11771451,11392687
40,1989030,12264505,11006945
41,1806416,12914352,12144374
42,2207587,12170410,11469167
43,1900383,12127049,11686312
44,1939455,11460925,11298997
45,1980640,11686055,12172833
46,1964975,11895186,12384774
47,2274395,12281079,11688603
48,2185607,12365771,11563504
49,1934495,11193554,11013650
50,1805847,11734748,11281365
51,2096070,11386751,11444991
52,2117659,11386487,11562278
53,1916468,11414951,11436071
54,2077941,11503029,11730837
55,1949203,11482789,11827553
56,2187584,11481596,12075595
57,2017252,11520693,11934993
58,2216033,11343599,12131409
59,2206947,11838412,11614538
60,2438069,12301400,11352283
61,2063554,12482577,11892270
62,1974333,11445492,11526251
63,2250679,11762391,11668008
64,2166639,13769761,13281095
65,2937900,12068236,14141571
66,1943439,11182738,11723018
67,2180176,12452742,11694759
68,1916213,11746860,11567612
69,2026483,11505279,11591004
70,1868573,11639979,11242651
71,1894150,11753524,11318232
72,1899585,11656884,11274233
73,2091188,11712644,11761608
74,1909989,11523659,11318764
75,1897408,11363565,11152863
76,1898602,11613575,11395328
77,2082868,11363500,11429640
78,2229885,11683785,11692579
79,1890720,11614810,12105530
80,2009523,11633189,11126418
81,1859719,11748386,11492170
82,2012696,11807930,11637236
83,2015430,11711813,11316243
84,1870431,11489919,11403327
85,2019901,11588541,11374556
86,1880749,11544695,11403909
87,1960235,11795653,11712775
88,1848222,11490627,11466572
89,2168015,11091409,12103372
90,1960336,11161345,11336137
91,2244427,11825021,11608235
92,2446684,11649623,11600013
93,2075915,11690821,11393220
94,2147145,11653899,11231358
95,1999949,11765648,11531404
96,2113036,11070581,11204240
97,2036410,11153664,11834842
98,2001422,12100266,11716456
99,2273120,11164274,11070751
