case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,9976984,17934866,25512199
1,8946257,17520284,26602183
2,8622834,17760838,27036136
3,9688013,17398351,26457715
4,8837645,18213018,26784040
5,8569594,19753910,25315852
6,8714860,18980237,26839604
7,9702416,17426851,25727611
8,9983108,17558664,26353662
9,8505254,18516915,25182982
10,8932118,18341690,26375782
11,9079473,18963906,26521833
12,8735364,18145704,25899594
13,9158966,19199078,25718163
14,10113664,17737232,27438017
15,8630453,17282259,26365479
16,9087317,18058732,26284717
17,10830397,17555195,25547540
18,8829008,17924939,26076959
19,8376955,18326937,27036580
20,9066228,17729142,24257012
21,8541093,18384517,27292826
22,8684524,18600427,32524543
23,9516199,18136795,26541707
24,9052411,17749550,25468048
25,9042941,18317114,25872483
26,8560122,17624921,26320924
27,8647978,18870722,26338614
28,8639678,17896885,29634521
29,8637529,18432314,25912657
30,8569340,18340285,26731839
31,9608421,17968002,27101579
32,9227587,17830926,26179582
33,8591936,18975603,26227838
34,9147090,19555947,26655267
35,9384697,18763416,26660428
36,8569998,18062659,28217603
37,8293578,17753675,26068576
38,8620992,19637837,26509598
39,8734144,16930915,26425099
40,9917680,18710152,28051384
41,9106201,19866629,26028437
42,8630969,18399098,25321488
43,8496169,18955767,26501941
44,8948399,18877720,27316711
45,8576764,18073993,25608802
46,9994838,17731405,25158459
47,8678951,18100804,27378682
48,9295942,18568833,26168651
49,8539074,18782946,26710570
50,10001116,19471182,26619630
51,9266815,18578375,27344909
52,8398955,17714529,25969460
53,9733122,18167016,27014568
54,10617325,17675263,24661437
55,9178052,18471624,26792602
56,8869936,18035064,26631537
57,9099352,18949836,27086053
58,8482191,18344745,26874138
59,8952955,20655927,27780721
60,8974979,18199754,27215869
61,8987455,17630428,27920728
62,8693158,17926249,25700601
63,8613834,20452916,26868588
64,8766848,18339648,27384359
65,8762857,20367429,26083589
66,9349134,20154360,25648230
67,8550169,18543028,25425283
68,9125397,18661435,27417400
69,8669465,19956158,27189918
70,9242329,19495296,24351176
71,8395797,18155493,25238632
72,9233569,19896151,27279504
73,8581829,17746031,26924619
74,8516848,18320684,24585745
75,8560632,18570925,27128926
76,9566012,17845608,27257489
77,9048682,18348239,27271698
78,8773995,18486381,24602271
79,8261079,18155675,25416576
80,9315958,19118598,26295357
81,8661696,17832155,27311462
82,9173613,17790551,24603030
83,10213521,18078556,26641534
84,8552474,19121036,27510775
85,8827130,18575316,26180111
86,8506422,18562638,27355735
87,9547809,18795486,25872284
88,9239883,17871011,25998637
89,9023469,17981663,26191407
90,10391113,17986369,28854186
91,8699268,18087863,25800393
92,8808697,18669198,27061114
93,9029273,17494527,26509941
94,9693855,18302346,26885535
95,8538519,19242208,25936826
96,9794019,18566120,25627562
97,9057392,17777670,25906375
98,9397434,33313409,26522050
99,8797107,17711163,25694505
