case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,37831994,989407,2488657
1,41091616,1146366,3419389
2,42520131,909286,2162294
3,34858639,900812,2604724
4,33865272,917765,2129929
5,34409923,900387,2403246
6,40704151,1002686,2356580
7,34502752,942182,2219054
8,36055708,1000047,2250341
9,37400708,919806,2426064
10,35832646,987880,2642225
11,34556673,769436,2762739
12,35942250,919391,2486053
13,34086866,925388,2425626
14,34681404,956218,2710525
15,36779198,968799,2478096
16,35139157,760532,2346916
17,36749928,870292,2232593
18,34148673,837621,2274077
19,35818367,899801,2402987
20,32839749,986930,2369496
21,33197253,976950,2440602
22,33844820,1167949,3597910
23,34458332,979364,2342303
24,34274447,1020656,2609353
25,34325143,901778,2396795
26,33143907,946644,2426112
27,35851549,799808,2430913
28,35793897,905781,2333558
29,35044110,924176,2422464
30,34033546,945161,2442418
31,33539245,877288,2311690
32,42116279,902207,2306027
33,39106186,885843,2399276
34,35767884,888998,2242358
35,34259614,903837,2539957
36,34281426,896642,2632830
37,34698828,858460,2460520
38,35195158,879738,2504997
39,36092208,951771,2567312
40,36231190,932519,2913191
41,38465368,894139,2259536
42,35471742,977145,2461149
43,35610215,777068,2275382
44,34011671,1080657,2546009
45,34635183,899476,2533909
46,34651465,993005,2633298
47,35047260,899368,2524504
48,35364018,777039,2458312
49,34150905,881442,2565760
50,36878393,868555,2536111
51,34372635,900505,2519992
52,34322105,932023,2387229
53,36702763,814620,2430224
54,34950962,869269,2522870
55,34641633,868084,2676529
56,33403623,858169,2501934
57,35375846,1145766,2471119
58,34528703,888275,2172641
59,35312278,777576,2301773
60,33946647,915594,2715525
61,33627830,877942,2621876
62,32812540,870507,2258800
63,34558540,1051155,2568616
64,40128613,845264,2260506
65,33236587,1242973,2591090
66,36239223,969294,2551608
67,34805693,867000,2607559
68,36076348,868319,2912053
69,36686521,781111,2434944
70,33242385,933362,2591621
71,35055530,918183,2530150
72,34877078,929834,2664089
73,37065316,898513,2659064
74,36866211,818213,2309164
75,34558619,947990,2682905
76,35361345,936062,2516340
77,33762363,934243,2460571
78,34443017,901342,2434311
79,35934351,888930,2926843
80,35007299,790790,2566363
81,34330900,914805,3066137
82,34020460,911839,2597932
83,37330360,1067711,2525221
84,34592957,933354,2570891
85,34443977,814517,2481593
86,34260677,869456,2523247
87,34205549,891956,2541210
88,33126273,946821,2471262
89,36812331,1068963,2514594
90,38041786,789175,2169025
91,34598802,934475,2187388
92,35308655,928810,2398428
93,35251919,901125,2263387
94,33130276,871148,2430727
95,35251664,960654,4195570
96,33634618,811628,2494200
97,34025931,854061,2571764
98,34745437,813269,2569587
99,33835710,894113,2733201
