case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,66750296,1763192,5403515
1,63756858,1453515,4510749
2,65452495,1482805,4610602
3,63427787,1543271,4462395
4,63883035,1608049,4689680
5,65049694,1497651,5002193
6,66428606,1485276,4492823
7,67759976,1522897,4187729
8,63654681,1671779,4552520
9,65239035,1517150,4392715
10,66927465,1527618,4646708
11,65496902,1474851,4666823
12,63970603,1513715,4370746
13,66957890,1481823,4260589
14,66177315,1479029,4594392
15,65249867,1557447,4345089
16,65733231,1552165,4771775
17,63057361,1463500,4299082
18,62631082,1674493,4627194
19,66515200,1689167,4839709
20,68084830,1563789,4600887
21,66005283,1563291,5071805
22,66467955,1543851,4623469
23,65280846,1583320,4369841
24,68508128,1750126,4578568
25,66169653,1507403,4505870
26,64855609,1595893,4668248
27,65678295,1545772,4602979
28,66517481,1505906,5825534
29,61962052,1611884,4620307
30,73285928,1549577,4262259
31,63382411,1489121,4575979
32,63334297,1553331,4255807
33,62764195,1606489,4593635
34,63867460,1504527,4550766
35,66906893,1532839,4667680
36,69832121,1446810,4338208
37,65530985,2065341,4995849
38,63410866,1505196,5168450
39,63253141,1579945,4578580
40,65220613,1523416,4821679
41,66591761,1522934,4442290
42,69262928,1703598,4395778
43,64245800,1604005,4658104
44,65774672,1521921,4605282
45,63986521,1529147,4865218
46,64121658,1547680,4383748
47,64287903,1517009,4469886
48,63910131,1369372,4129944
49,69628200,1883803,4249639
50,63631587,1482878,4510344
51,67580021,1550214,4630336
52,64889436,2253993,5164167
53,63099827,1606817,4162984
54,64336457,1498838,4547653
55,63584126,1640618,3982777
56,67039770,1497487,4841483
57,63909906,1623260,4493387
58,64299424,1691610,4382027
59,63562921,1562442,4549561
60,62906742,1401333,4236762
61,63422888,1684057,4427642
62,62730516,1596299,4405934
63,67390829,1479880,4181853
64,64299859,1502679,4790066
65,63916499,1712014,4741525
66,64371739,1626186,4541949
67,64506099,1591115,4158457
68,64636815,1548347,4206266
69,64670604,1583436,4581561
70,67434990,1552393,4483192
71,63772377,1528915,4102665
72,62032009,1518132,5067545
73,62862828,1580329,4375770
74,62846489,1622683,4690837
75,65422825,1583556,4497953
76,64404490,1572704,4346156
77,65983727,1775224,4321544
78,64707743,1623027,4537935
79,61821875,1596804,5729948
80,65771956,1550242,5357665
81,64078391,1539475,4366601
82,62988571,1497323,3916360
83,66876347,1514878,4422326
84,65492235,1504558,4604511
85,61390932,1536508,4722273
86,63250226,1531038,4472059
87,63843743,1477664,4462444
88,62216934,1537738,4356958
89,63715113,1644793,4308713
90,64450590,1663285,4426774
91,66840575,1979475,4278131
92,63583105,1499353,4415772
93,64895710,1449372,4231320
94,67887080,1563738,4594057
95,62210088,1539455,4551371
96,63343593,1431650,4405165
97,63961290,1729085,4954758
98,65162834,1813197,4244739
99,64259830,1560681,4222437
