 ,OH6416, OH6416, OH6416, OH6432, OH6432, OH6432, OH6464, OH6464, OH6464, OH6416FFT, OH6416FFT, OH6416FFT, OH6432FFT, OH6432FFT, OH6432FFT, OH6464FFT, OH6464FFT, OH6464FFT, ntru-hps2048509, ntru-hps2048509, ntru-hps2048509, ntru-hps2048677, ntru-hps2048677, ntru-hps2048677, ntru-hps4096821, ntru-hps4096821, ntru-hps4096821, ntru-hrss701, ntru-hrss701, ntru-hrss701, ntrulpr653, ntrulpr653, ntrulpr653, ntrulpr761, ntrulpr761, ntrulpr761, ntrulpr857, ntrulpr857, ntrulpr857, sntrup653, sntrup653, sntrup653, sntrup761, sntrup761, sntrup761, sntrup857, sntrup857, sntrup857, FrodoKEM-640, FrodoKEM-640, FrodoKEM-640, FrodoKEM-976, FrodoKEM-976, FrodoKEM-976, FrodoKEM-1344, FrodoKEM-1344, FrodoKEM-1344, kyber512, kyber512, kyber512, kyber768, kyber768, kyber768, kyber1024, kyber1024, kyber1024, BabyBear, BabyBear, BabyBear, MamaBear, MamaBear, MamaBear, PapaBear, PapaBear, PapaBear
case No., KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns)
0, 3568, 1405, 3205, 4437, 2037, 7342, 5656, 19717, 15272, 276849, 35643, 336248, 100583, 121063, 350967, 232768, 177800, 294859, 37831994, 989407, 2488657, 63518239, 1529337, 3840683, 95636278, 2264733, 6295917, 66750296, 1763192, 5403515, 7740722, 12821826, 19234026, 9976984, 17934866, 25512199, 12434411, 22148155, 31998983, 59149516, 7734061, 21935139, 83431038, 9338617, 25545348, 101067912, 13430728, 34404768, 1218872, 3155148, 2877563, 2371891, 6132335, 5737020, 4685023, 11785511, 11447409, 154763, 195651, 234670, 291903, 315672, 401726, 372626, 941831, 1803224, 552911, 682051, 1404095, 1012644, 1290311, 2662243, 1854670, 1961677, 4296337
1, 318, 583, 2171, 1650, 1930, 6829, 4659, 5111, 10863, 37971, 86601, 554585, 76253, 109207, 490070, 198656, 163376, 3884503, 41091616, 1146366, 3419389, 59420537, 1674073, 4565792, 90780837, 2343573, 6069696, 63756858, 1453515, 4510749, 6965318, 14381582, 19269844, 8946257, 17520284, 26602183, 12822532, 21732350, 32012860, 60994713, 7789730, 19757795, 87222899, 10194103, 28826999, 102165894, 13932143, 37088858, 716313, 3059008, 2990749, 1444197, 5009753, 5436605, 2237700, 11104377, 11812103, 136961, 208259, 273844, 1029090, 555037, 441974, 559137, 505468, 581708, 549310, 647831, 1261057, 1015164, 1285573, 2851110, 1822910, 3381881, 6488652
2, 263, 562, 2137, 1581, 1803, 6699, 4965, 4836, 9980, 35088, 524689, 993975, 72538, 95232, 313365, 211354, 196576, 304865, 42520131, 909286, 2162294, 61944641, 1609778, 3818155, 89360275, 2242222, 6026831, 65452495, 1482805, 4610602, 6246520, 13230476, 19731714, 8622834, 17760838, 27036136, 11561473, 23008703, 35182744, 61003604, 7970822, 20655580, 90060940, 11171371, 27716621, 100534864, 12726616, 33068900, 510627, 2731033, 2936571, 1068301, 5058325, 5347808, 2205965, 15422932, 11492421, 166094, 275601, 251407, 564357, 718242, 707562, 528892, 524029, 537706, 470037, 624857, 1496016, 1140971, 1309726, 2497039, 1774807, 1966294, 4056156
3, 323, 570, 2328, 1495, 1871, 6576, 4746, 4982, 9965, 36668, 35574, 356832, 76369, 78669, 580609, 177969, 188700, 386567, 34858639, 900812, 2604724, 60449964, 2146767, 5067648, 89209947, 2057097, 5952380, 63427787, 1543271, 4462395, 6576857, 14903320, 21055767, 9688013, 17398351, 26457715, 11020126, 23640751, 33188834, 57607107, 8417181, 19792938, 82117116, 9499870, 25771591, 100778081, 12186422, 34723367, 516234, 3908532, 2930079, 1080678, 5277558, 5617588, 1918979, 12367312, 11409865, 169666, 279225, 281184, 418702, 644194, 800820, 494383, 734785, 702067, 571696, 914719, 1357117, 1014332, 1208411, 2648975, 2006223, 2012718, 4426465
4, 315, 607, 2205, 1395, 1744, 6579, 4579, 5000, 9985, 36807, 51329, 510136, 72946, 78014, 293726, 155543, 176805, 435975, 33865272, 917765, 2129929, 60348570, 1575305, 4105455, 87063176, 2139518, 7963017, 63883035, 1608049, 4689680, 6459486, 14126147, 18296187, 8837645, 18213018, 26784040, 12466259, 22711531, 32103970, 69435698, 7900886, 19232726, 82261805, 11927408, 27798758, 100836266, 13356848, 34668871, 561312, 2894043, 2971888, 1024998, 7514736, 5579022, 1783227, 11948658, 11942793, 167997, 197752, 258689, 806471, 299231, 672431, 415030, 490187, 616440, 495532, 771947, 1489364, 1052329, 1234731, 3061322, 1736399, 2043725, 4411627
5, 268, 556, 2161, 1411, 1688, 6526, 4373, 4560, 9649, 35111, 35286, 489524, 139431, 114365, 352370, 170675, 188830, 374773, 34409923, 900387, 2403246, 61420381, 1552505, 4155925, 90472468, 2350113, 6492540, 65049694, 1497651, 5002193, 6958761, 13862597, 19884264, 8569594, 19753910, 25315852, 11342071, 23141303, 30737685, 58108271, 8426231, 20182630, 87201558, 9711265, 25788548, 101318161, 13208989, 33375780, 539479, 3289687, 2765071, 1105025, 5217524, 5153745, 2277169, 12220584, 11472958, 148166, 190268, 281552, 252760, 346592, 491172, 401952, 538645, 643830, 476960, 677429, 2816414, 1138275, 1322751, 2690800, 1827955, 2091051, 4173568
6, 266, 556, 2175, 1389, 1596, 6598, 4410, 4606, 9633, 36522, 53342, 381085, 119958, 106822, 365357, 162681, 164017, 408207, 40704151, 1002686, 2356580, 59155883, 1500923, 3660486, 92386779, 2219880, 5986251, 66428606, 1485276, 4492823, 7107933, 14113690, 19200608, 8714860, 18980237, 26839604, 10586124, 22911069, 34141043, 58610124, 7708664, 20315507, 81232263, 10950520, 25491637, 99765016, 12746139, 33311540, 561725, 3054569, 2804729, 1082461, 5759981, 5610507, 1895082, 12980756, 11868849, 147550, 218396, 340997, 250126, 366997, 350065, 434407, 502088, 619212, 530052, 655017, 1378636, 1042695, 1345569, 2405030, 1817075, 2147408, 4100034
7, 343, 604, 15593, 1421, 1620, 6601, 23394, 4597, 9810, 35561, 35156, 337437, 106800, 96884, 375003, 227934, 190743, 387929, 34502752, 942182, 2219054, 61995288, 1431129, 3921851, 88264786, 2408192, 6266807, 67759976, 1522897, 4187729, 6306843, 13418779, 20061992, 9702416, 17426851, 25727611, 11508867, 22880076, 32445058, 58958706, 7877683, 19922490, 84136336, 10580664, 27804364, 100223375, 12667978, 32436760, 596693, 3068401, 2985548, 1069316, 5468177, 5755718, 2195013, 12273197, 11487811, 211303, 181090, 294604, 288014, 359048, 350393, 422594, 545953, 567507, 604940, 686411, 1401712, 977809, 1217515, 2543067, 1711154, 2263193, 4594881
8, 271, 552, 2195, 1418, 1633, 6960, 4500, 4634, 9718, 82417, 35606, 582582, 104567, 97725, 477786, 228478, 193574, 512830, 36055708, 1000047, 2250341, 59452707, 1393889, 4268197, 91489302, 2357242, 6282682, 63654681, 1671779, 4552520, 6278162, 14516494, 19863130, 9983108, 17558664, 26353662, 10960815, 23194443, 33237168, 61452289, 8260291, 19884782, 83288974, 9801218, 26403302, 105313385, 13486459, 33797945, 551041, 2804696, 2916477, 1009011, 5625011, 5256797, 1868470, 12717437, 11288338, 144780, 203676, 261007, 281776, 366059, 448083, 406009, 565253, 763184, 475764, 695764, 1378234, 1053441, 1341609, 2734543, 1851865, 2027175, 4357029
