 ,OH6416, OH6416, OH6416, OH6432, OH6432, OH6432, OH6464, OH6464, OH6464, OH6416FFT, OH6416FFT, OH6416FFT, OH6432FFT, OH6432FFT, OH6432FFT, OH6464FFT, OH6464FFT, OH6464FFT, ntru-hps2048509, ntru-hps2048509, ntru-hps2048509, ntru-hps2048677, ntru-hps2048677, ntru-hps2048677, ntru-hps4096821, ntru-hps4096821, ntru-hps4096821, ntru-hrss701, ntru-hrss701, ntru-hrss701, ntrulpr653, ntrulpr653, ntrulpr653, ntrulpr761, ntrulpr761, ntrulpr761, ntrulpr857, ntrulpr857, ntrulpr857, sntrup653, sntrup653, sntrup653, sntrup761, sntrup761, sntrup761, sntrup857, sntrup857, sntrup857, FrodoKEM-640, FrodoKEM-640, FrodoKEM-640, FrodoKEM-976, FrodoKEM-976, FrodoKEM-976, FrodoKEM-1344, FrodoKEM-1344, FrodoKEM-1344, kyber512, kyber512, kyber512, kyber768, kyber768, kyber768, kyber1024, kyber1024, kyber1024, BabyBear, BabyBear, BabyBear, MamaBear, MamaBear, MamaBear, PapaBear, PapaBear, PapaBear
case No., KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns)
0,463,1112,4409,5846,3735,13713,9146,8577,18090,64130,40309,318420,75807,53435,208521,186821,170107,339482,44109841,875582,2300190,78605027,1590086,3807470,113131366,2312245,5655366,86366947,1424241,4065489,8239057,14678364,21460798,14784844,19485951,29467374,17074798,26288098,38011234,73243402,7904572,23111400,103241575,16217084,32381779,120893282,13174181,37537566,1535484,3193331,3127794,3077547,7032239,6764703,6416168,68072661,68477254,248954,343042,424185,342976,527710,706368,642576,770292,901655,1182611,1550579,3089729,1503301,1746704,3713782,4629786,4886591,5440574
1,396,682,2477,2990,3275,12902,9036,8807,18060,41409,39725,316577,59105,54814,213695,171284,183675,389293,43094911,852102,2880335,73719417,1578236,3962034,109928724,2226762,5806530,81311493,1430968,4287406,7433437,14237127,21481891,10332978,19233508,29353298,14046346,25393514,38121308,69016626,7774167,21612188,96239985,10378651,29332215,117304398,12793660,37580151,847411,3284853,3145366,1635928,6872014,6813982,3056029,77086569,73213442,243137,339605,451574,532596,647366,780854,693864,866691,1018004,1516096,1622777,2565236,1312954,1690458,3383783,2475769,2687599,5639606
2,342,653,2444,3037,3464,12446,8950,8712,17529,39122,39593,316923,51924,54744,213988,194780,193790,384837,43731358,861891,2241433,71923246,1527189,3918629,110325575,2208914,5885747,80271899,1661134,4282387,7964594,14656210,21704672,10670548,19505837,28995311,17486717,25509705,37960573,68722772,7835613,21736253,95102241,10448255,29319069,117644646,13061708,37557702,792921,3127130,3125218,1558093,6888186,6626323,3650502,72016453,72896417,242692,337220,424081,511886,656699,819234,731544,912495,1019121,681031,868135,1793480,1400175,1810355,4545460,2337667,2753248,5637911
3,290,639,2660,2977,3431,12299,8800,8563,17408,41386,39712,317786,52469,54801,213790,189156,215688,389687,42082491,899706,2313833,71860812,1526061,3941351,109905770,2263513,5693029,79187258,1600090,5747109,7440859,14626923,21419612,10258963,19532129,29654634,14030452,25517023,37790086,68665839,7729670,21530281,93851410,10301308,29944274,118140845,13204491,37826747,772065,3256822,3206670,1574986,7450849,6731443,3236617,68637038,68549587,242014,338850,422037,469459,587392,780714,712895,891695,1017795,656033,857987,1705063,1473790,2219767,3707659,2346809,2578675,5503821
4,601,993,3500,2885,3436,12383,8765,8540,17255,39191,41991,316523,51912,77823,226920,194442,192578,385056,41819814,922833,2401543,72565486,1501270,3879288,117553980,2397912,5911249,79342572,1498681,4172066,7670574,14158782,21635383,10962171,19528097,29386749,13272055,25078777,39003137,69133393,7693041,21838734,94874385,10360704,29384378,122698500,13164506,37723483,778327,3206694,3119536,1599289,7109649,6970080,3001638,69763680,69679944,242369,338100,414251,544393,650173,781839,711298,865903,710453,658302,812757,2031027,1458016,1732131,3415471,2344867,2723881,5722055
5,494,912,3452,2890,3430,12315,8722,8531,16990,39333,39625,318711,55022,57724,226749,197240,192557,506348,42016538,852233,2312960,72855552,1544791,3827748,109982216,2235145,5813733,80247711,1422896,4117455,7990562,14661851,21073986,10245335,19339189,29095346,13111426,24641688,38702049,69024873,7721710,21640531,94910092,10266608,29269887,117933794,12678424,37348470,771433,3208053,2995550,1629297,6922239,6789748,3059940,68700851,67416871,183495,265874,319846,511039,649330,458746,447987,525059,697971,872141,924997,1783507,1312901,1631002,3327389,2458035,2801218,5722373
6,458,908,3302,2896,3406,12146,8671,8470,17007,39129,41845,316352,55528,58159,226643,224788,193331,385043,41758089,850861,2215720,72481312,1487002,3957989,108760696,2204381,6176206,81652773,1630466,4439995,7423105,14296124,21358122,10400447,19259609,28962922,12933170,24491189,37101645,69072560,7532167,21932744,94273994,10299659,30060842,116944044,13183578,37359882,806641,3094129,3183884,1665892,6705125,6876003,3094866,67081070,67403465,183723,262908,322470,324101,471918,456740,462306,579547,650418,656157,879857,1881922,1416152,2355227,4290615,2438756,2699280,5462698
7,661,1015,3616,2848,3315,12088,8610,16859,19276,39734,39711,324834,54864,57686,226282,197101,193468,388730,42356667,882871,2228375,77512098,2240016,4099769,109114375,2273937,5690619,80510674,1558799,4135846,7747392,14205643,21630973,10359155,19701761,29017096,12779239,24337652,37493790,69001030,7740744,21696267,94284950,10130690,29375410,118077937,13008112,37715795,767812,3040874,3120754,1545048,7125789,6922312,2964398,69673783,71098646,183547,256073,320488,298532,378805,456022,455291,553459,650090,648844,880142,1811808,2298050,2843358,5307709,2816107,2692581,5572410
8,466,902,3295,2827,3326,12124,9868,9716,19399,41959,39631,316656,55001,57585,227536,196292,192704,387734,41935866,899618,2492637,72888669,1567736,3780485,108159417,2259562,5836834,80426311,1496878,4172406,7598301,14202063,21482269,10352280,19365397,29020505,13311922,24971553,36826842,69069611,7726823,21437288,95005010,10226089,29299369,116584783,12936435,37327803,792051,3199557,3067001,1615328,7193749,6889877,3518775,68412378,67618364,183006,255471,321127,298788,379286,457422,456076,576843,635288,655856,857181,1738621,2343186,1933179,3416798,2598854,2779401,5841183
